לוח,מהדורה,נספח,אוכלוסייה,משפחת מדדים,רמה גאוגרפית,פילוח מגדרי,שורות,עמודות,כיסוי,חסרות,התאמות fuzzy,שם הלוח
76,2023–2024,ה,עצמאים · עצמאית ושכירה,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,866,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
78,2023–2024,ה,עצמאים · עצמאית ושכירה,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
80,2023–2024,ה,עצמאים · עצמאית ושכירה,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
75,2023–2024,ה,עצמאים · עצמאית ושכירה,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,866,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
77,2023–2024,ה,עצמאים · עצמאית ושכירה,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
79,2023–2024,ה,עצמאים · עצמאית ושכירה,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
108,2023–2024,ז,עצמאים שאינם שכירים,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,865,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
110,2023–2024,ז,עצמאים שאינם שכירים,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
112,2023–2024,ז,עצמאים שאינם שכירים,התפלגות קבוצת הכנסה,מחוז ונפה,כן,72,21,,,,"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
107,2023–2024,ז,עצמאים שאינם שכירים,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,865,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
109,2023–2024,ז,עצמאים שאינם שכירים,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
111,2023–2024,ז,עצמאים שאינם שכירים,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
