anaf,n,months,wage,rashut,ענף,ratio,w_nat
90+91+92,86,9.8,12775.5,גולן,"יצירה, אמנות ובידור +",125.5,10179.7
93,178,6.9,5944.7,גולן,"פעילויות ספורט, בילוי ופנאי",96.5,6163.2
94,347,8.5,8147.0,גולן,פעילויות של ארגוני חברים,116.1,7018.5
95+96,53,8.7,5668.3,גולן,"תיקון של מחשבים, ציוד אישי וציוד לבית +",70.9,7996.8
1,75,8.4,7391.7,צפת,גידולים צמחיים,86.8,8514.2
10,453,9.7,10011.9,צפת,ייצור מוצרי מזון,94.4,10603.5
11+12,58,8.6,8523.0,צפת,ייצור משקאות +,58.2,14655.8
16+17+18,104,10.5,8913.3,צפת,"ייצור מוצרי עץ ומוצרי עץ ושעם, פרט לרהיטים; ייצור מוצרי קש ומוצרים מחומרי קליעה +",69.0,12918.7
19+20,95,10.0,8603.8,צפת,ייצור מוצרי נפט מזוקק +,42.6,20195.7
23+24+25,65,10.0,16114.0,צפת,ייצור מוצרים אחרים על בסיס מינרלים אל-מתכתיים +,105.0,15346.6
27+28,87,10.6,10609.9,צפת,ייצור ציוד חשמלי +,53.6,19812.5
35+36+37+38+39,80,10.0,22062.2,צפת,"אספקת חשמל, גז, קיטור ומיזוג אוויר (קירור) +",95.2,23164.3
41,174,8.6,9798.3,צפת,בניית מבנים ובניינים,76.5,12807.7
43,189,8.7,7681.8,צפת,עבודות בנייה מיוחדות,72.2,10639.2
45,63,10.8,12437.9,צפת,מסחר סיטוני וקמעוני בכלי רכב מנועיים ובאופנועים ותיקונם,98.6,12610.3
46,288,9.3,9341.6,צפת,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",63.7,14657.0
47,1219,8.7,5869.7,צפת,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",76.7,7653.0
49,276,10.5,8602.3,צפת,הובלה יבשתית והובלה באמצעות קווי צינורות,73.4,11726.1
50+51+52+53,51,10.0,12128.5,צפת,הובלה ימית +,67.8,17890.8
55,166,8.3,6984.1,צפת,שירותי אירוח,71.0,9830.5
56,773,7.4,4743.6,צפת,שירותי מזון ומשקאות,89.5,5301.7
62+63,147,10.3,17842.5,צפת,"תכנות מחשבים, ייעוץ בתחום המחשבים ושירותים נלווים אחרים +",55.8,31994.1
64+65+66,128,9.8,13137.8,צפת,"שירותים פיננסיים, פרט לביטוח ולקרנות פנסיה +",60.0,21885.1
68,74,9.7,10277.0,צפת,"פעילויות בנדל""ן",66.8,15393.5
69,174,10.1,8719.5,צפת,שירותים משפטיים ושירותי חשבונאות,64.9,13434.3
70,67,8.8,9169.2,צפת,שירותי משרדים ראשיים; שירותי ייעוץ ניהולי,54.6,16796.8
71,88,10.4,11642.6,צפת,שירותי אדריכלות והנדסה; בדיקות טכניות וניתוח נתונים טכניים,74.9,15541.5
73+74+75,84,8.9,7074.2,צפת,פרסום וחקר שווקים +,55.4,12762.2
78,134,6.1,4939.3,צפת,שירותי תעסוקה,81.0,6099.3
80,148,9.8,7454.9,צפת,"שירותי שמירה, אבטחה וחקירה",82.2,9072.4
81,224,8.5,5285.8,צפת,שירותי תחזוקה לבניינים ועבודות גינון,72.2,7323.5
82,367,9.4,6570.4,צפת,שירותי ניהול ותמיכה למשרדים ולעסקים,81.4,8069.6
83,589,10.7,9883.7,צפת,מינהל מקומי,85.7,11536.4
84,580,11.2,16929.5,צפת,מינהל ציבורי וביטחון; ביטוח לאומי חובה,86.9,19488.5
85,2974,9.9,8991.2,צפת,חינוך,80.5,11163.3
86,421,10.6,12564.6,צפת,שירותי בריאות,78.0,16108.9
87+88,1578,9.1,4453.7,צפת,מגורים טיפוליים +,86.0,5177.2
90+91+92,69,8.8,6050.4,צפת,"יצירה, אמנות ובידור +",59.4,10179.7
93,103,6.8,4308.4,צפת,"פעילויות ספורט, בילוי ופנאי",69.9,6163.2
94,784,8.4,4886.7,צפת,פעילויות של ארגוני חברים,69.6,7018.5
95+96,51,8.6,5918.3,צפת,"תיקון של מחשבים, ציוד אישי וציוד לבית +",74.0,7996.8
