anaf,n,months,wage,rashut,ענף,ratio,w_nat
31+32+33+34,51,9.0,6828.1,מג'דל שמס,ייצור רהיטים +,47.9,14260.9
41,584,8.7,7121.0,מג'דל שמס,בניית מבנים ובניינים,55.6,12807.7
42,184,8.9,8809.5,מג'דל שמס,עבודות הנדסה אזרחית,64.4,13679.8
43,432,8.7,6175.9,מג'דל שמס,עבודות בנייה מיוחדות,58.0,10639.2
46,110,9.1,7621.6,מג'דל שמס,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",52.0,14657.0
47,451,9.1,4745.0,מג'דל שמס,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",62.0,7653.0
49,87,9.1,8067.4,מג'דל שמס,הובלה יבשתית והובלה באמצעות קווי צינורות,68.8,11726.1
50+51+52+53,96,8.8,5989.3,מג'דל שמס,הובלה ימית +,33.5,17890.8
56,168,8.1,4355.6,מג'דל שמס,שירותי מזון ומשקאות,82.2,5301.7
62+63,76,10.5,20667.4,מג'דל שמס,"תכנות מחשבים, ייעוץ בתחום המחשבים ושירותים נלווים אחרים +",64.6,31994.1
64+65+66,66,9.6,7614.9,מג'דל שמס,"שירותים פיננסיים, פרט לביטוח ולקרנות פנסיה +",34.8,21885.1
71,184,9.7,9858.9,מג'דל שמס,שירותי אדריכלות והנדסה; בדיקות טכניות וניתוח נתונים טכניים,63.4,15541.5
78,200,7.8,4272.2,מג'דל שמס,שירותי תעסוקה,70.0,6099.3
83,184,11.0,11199.5,מג'דל שמס,מינהל מקומי,97.1,11536.4
84,60,11.5,26018.1,מג'דל שמס,מינהל ציבורי וביטחון; ביטוח לאומי חובה,133.5,19488.5
85,450,10.7,13074.7,מג'דל שמס,חינוך,117.1,11163.3
86,205,10.6,15532.2,מג'דל שמס,שירותי בריאות,96.4,16108.9
87+88,442,9.6,3547.3,מג'דל שמס,מגורים טיפוליים +,68.5,5177.2
93,59,6.6,5964.9,מג'דל שמס,"פעילויות ספורט, בילוי ופנאי",96.8,6163.2
1,105,9.5,6875.8,מסעדה,גידולים צמחיים,80.8,8514.2
41,155,9.2,7040.5,מסעדה,בניית מבנים ובניינים,55.0,12807.7
42,105,9.6,6454.2,מסעדה,עבודות הנדסה אזרחית,47.2,13679.8
