year,ארצי,תל-אביב,המרכז,חיפה,הצפון,הדרום,ירושלים,נפת צפת,נפת גולן,אשכול גליל מזרחי
2016,11117.0,12676.0,12495.0,10952.0,9275.0,9920.0,9671.0,9161.0,8415.0,8953.0
2017,11358.0,12989.0,12780.0,11162.0,9484.0,10191.0,9840.0,9394.0,8698.0,9198.0
2018,11699.0,13588.0,13135.0,11467.0,9740.0,10497.0,10025.0,9704.0,8909.0,9476.0
2019,12074.0,13988.0,13577.0,11864.0,10052.0,10854.0,10373.0,10052.0,9229.0,9814.0
2020,12515.0,14642.0,14102.0,12246.0,10372.0,11248.0,10610.0,10320.0,9575.0,10102.0
2021,12978.0,15489.0,14678.0,12626.0,10668.0,11534.0,10824.0,10657.0,9955.0,10447.0
2022,13396.0,16263.0,15281.0,12973.0,10821.0,11822.0,11021.0,10842.0,10079.0,10611.0
2023,14104.0,17082.0,16068.0,13670.0,11455.0,12531.0,11596.0,11511.0,10777.0,11288.0
2024,14751.0,17909.0,16777.0,14239.0,12034.0,13125.0,12038.0,12414.0,11628.0,12168.0
