,ארצי,תל־אביב,המרכז,חיפה,הצפון,הדרום,ירושלים,אשכול גליל מזרחי
2016,9573.0,11157.0,10906.0,9469.0,7854.0,8395.0,8161.0,7565.0
2017,9827.0,11470.0,11192.0,9693.0,8088.0,8687.0,8344.0,7809.0
2018,10146.0,12020.0,11529.0,9982.0,8335.0,8972.0,8515.0,8058.0
2019,10473.0,12393.0,11923.0,10328.0,8586.0,9287.0,8826.0,8358.0
2020,10169.0,12088.0,11645.0,10050.0,8270.0,9053.0,8339.0,8104.0
2021,10884.0,13283.0,12505.0,10655.0,8785.0,9532.0,8818.0,8611.0
2022,11657.0,14481.0,13471.0,11335.0,9296.0,10126.0,9351.0,9096.0
2023,12288.0,15199.0,14173.0,11967.0,9860.0,10744.0,9894.0,9622.0
2024,12844.0,15937.0,14807.0,12462.0,10331.0,11244.0,10250.0,10266.0
