קובץ,משפחה,רמה_גאוגרפית,אוכלוסייה,מושג_הכנסה,פילוח_מגדר,שנים,מדדים,שורות,ישויות,נחלץ_בהצלחה,סיבת_כשל,מקור_בפועל
"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers",2916,54,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_self_only,wage_work_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",15579,289,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",15579,289,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers",1134,14,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers",15471,287,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",15579,289,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_emp_only,wage_year_mean",15579,289,כן,,xlsx
"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_emp_only,wage_year_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_emp_only,wage_year_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_emp_only,wage_work_mean",15579,289,כן,,xlsx
"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers",2916,54,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_emp_only,wage_work_mean",1188,15,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",8655,289,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,2016,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1355,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2017 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,,,0,0,לא,דחיסה לא נתמכת/פגום,חסר
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2018 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,2018,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1355,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2019 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,,,0,0,לא,דחיסה לא נתמכת/פגום,חסר
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2020 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,2020,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1355,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2021 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,2021,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1355,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2022 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,2022,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1355,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,2016,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",2710,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2017 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,2017,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",2710,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2018 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,2018,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",2710,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2019 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,2019,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",2710,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2020 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,2020,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",2710,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2021 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,2021,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",2710,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2022 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,2022,"n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",2710,271,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1680,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",660,15,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024",n_workers,1666,285,לא,שם קובץ ארוך מדי,unified_all.csv
"שכר ממוצע וחציוני, חודשי ושנתי של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","n_both,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1660,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","n_both,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",660,15,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",8595,289,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1680,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",660,15,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",8595,289,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1680,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",660,15,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","n_self_only,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",8570,289,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","n_self_only,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1680,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024",n_workers,126,14,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה בלבד), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",8655,289,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה בלבד), לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1680,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה בלבד), לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",660,15,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",8655,289,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1680,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","n_workers,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",660,15,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע וחציוני,יישוב,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","n_emp_only,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",8655,289,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מועצה איזורית ומין, 2024-2023",שכר ממוצע וחציוני,מועצה אזורית,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","n_emp_only,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",1680,56,כן,,xlsx
"שכר ממוצע וחציוני, חודשי ושנתי של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מחוז, נפה ומין, 2024-2023",שכר ממוצע וחציוני,נפה/מחוז,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","n_emp_only,wage_work_mean,wage_work_med,wage_year_mean,wage_year_med",660,15,כן,,xlsx
"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,השכירים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_year_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,השכירים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_year_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,השכירים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_year_mean",756,54,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,השכירים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_year_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש בשנה של כלל העובדים, לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,"2016,2017,2018,2019,2020,2021,2022","n_workers,wage_year_mean",3794,271,כן,,xlsx
"שכר ממוצע לחודש בשנה של כלל העובדים, לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,"2016,2017,2018,2019,2020,2021,2022","n_workers,wage_year_mean",756,54,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע לחודש בשנה של כלל העובדים, לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,"2016,2017,2018,2019,2020,2021,2022","n_workers,wage_year_mean",280,14,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה עצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,עצמאים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_year_mean",3792,271,כן,,xlsx
"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה עצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,עצמאים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_year_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה עצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,עצמאים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_year_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_year_mean",3792,271,כן,,xlsx
"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_year_mean",756,54,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_year_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש בשנה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,עצמאים שאינם שכירים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self_only,wage_year_mean",3788,271,כן,,xlsx
"שכר ממוצע לחודש בשנה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,עצמאים שאינם שכירים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self_only,wage_year_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש בשנה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,עצמאים שאינם שכירים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self_only,wage_year_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש בשנה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,שכירים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_year_mean",3794,271,כן,,xlsx
