קובץ,משפחה,רמה_גאוגרפית,אוכלוסייה,מושג_הכנסה,פילוח_מגדר,שנים,מדדים,שורות,ישויות,נחלץ_בהצלחה,סיבת_כשל,מקור_בפועל
"משך העבודה של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מועצה איזורית ומין, 2024-2023",משך העבודה,מועצה אזורית,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",2352,56,כן,,xlsx
"משך העבודה של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מחוז, נפה ומין, 2024-2023",משך העבודה,נפה/מחוז,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",924,15,כן,,xlsx
"משך העבודה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",משך העבודה,יישוב,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_self_only",11998,289,כן,,xlsx
"משך העבודה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מועצה איזורית ומין, 2024-2023",משך העבודה,מועצה אזורית,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_self_only",2436,56,כן,,xlsx
"משך העבודה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מחוז, נפה ומין, 2024-2023",משך העבודה,נפה/מחוז,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_self_only",924,15,כן,,xlsx
"משך העבודה של שכירים (הכנסה מעבודה שכירה בלבד), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",משך העבודה,יישוב,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",12117,289,כן,,xlsx
"משך העבודה של שכירים (הכנסה מעבודה שכירה בלבד), לפי מועצה איזורית ומין, 2024-2023",משך העבודה,מועצה אזורית,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",2352,56,כן,,xlsx
"משך העבודה של שכירים (הכנסה מעבודה שכירה בלבד), לפי מחוז, נפה ומין, 2024-2023",משך העבודה,נפה/מחוז,שכירים,מעבודה שכירה בלבד,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",924,15,כן,,xlsx
"משך העבודה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",משך העבודה,יישוב,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",12117,289,כן,,xlsx
"משך העבודה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023",משך העבודה,מועצה אזורית,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",2352,56,כן,,xlsx
